Name,	DOB,	Birthplace,	Died,	Occupation,	Children
Elvis Aaron Presley,	1935-01-08,	'Tupelo Mississippi USA',	1977-08-16,	'Singer actor', 1
Ray Charles Robinson,	1930-09-23,	'Albany Georgia USA',	2004-06-10,	'Musician singer songwriter composer',	12
Aretha Louise Franklin,	1942-03-25,	'Detroit Michigan USA',	2018-08-16,	'Singer songwriter pianist',	4
